aliasNames,shortName
http://creativecommons.org/licenses/by-nc-nd/4.0/legalcode,spdx/CC-BY-NC-ND-4.0
http://creativecommons.org/licenses/by-nc-sa/1.0/legalcode,spdx/CC-BY-NC-SA-1.0
http://creativecommons.org/licenses/by-nc-sa/2.0/legalcode,spdx/CC-BY-NC-SA-2.0
http://creativecommons.org/licenses/by-nc-sa/2.5/legalcode,spdx/CC-BY-NC-SA-2.5
http://creativecommons.org/licenses/by-nc-sa/3.0/legalcode,spdx/CC-BY-NC-SA-3.0
http://creativecommons.org/licenses/by-nc-sa/4.0,spdx/CC-BY-NC-SA-4.0
http://creativecommons.org/licenses/by-nc-sa/4.0/legalcode,spdx/CC-BY-NC-SA-4.0
http://creativecommons.org/licenses/by-nc/1.0/legalcode,spdx/CC-BY-NC-1.0
http://creativecommons.org/licenses/by-nc/2.0/legalcode,spdx/CC-BY-NC-2.0
http://creativecommons.org/licenses/by-nc/2.5/legalcode,spdx/CC-BY-NC-2.5
http://creativecommons.org/licenses/by-nc/3.0/legalcode,spdx/CC-BY-NC-3.0
http://creativecommons.org/licenses/by-nc/4.0/legalcode,spdx/CC-BY-NC-4.0
http://creativecommons.org/licenses/by-nd-nc/1.0/legalcode,spdx/CC-BY-NC-ND-1.0
http://creativecommons.org/licenses/by-nd/1.0/legalcode,spdx/CC-BY-ND-1.0
http://creativecommons.org/licenses/by-nd/2.0/legalcode,spdx/CC-BY-ND-2.0
http://creativecommons.org/licenses/by-nd/2.5/legalcode,spdx/CC-BY-ND-2.5
http://creativecommons.org/licenses/by-nd/3.0/legalcode,spdx/CC-BY-ND-3.0
http://creativecommons.org/licenses/by-nd/4.0/legalcode,spdx/CC-BY-ND-4.0
http://creativecommons.org/licenses/by-sa/1.0/legalcode,spdx/CC-BY-SA-1.0
http://creativecommons.org/licenses/by-sa/2.0/legalcode,spdx/CC-BY-SA-2.0
http://creativecommons.org/licenses/by-sa/2.5/,spdx/CC-BY-SA-2.5
http://creativecommons.org/licenses/by-sa/2.5/legalcode,spdx/CC-BY-SA-2.5
http://creativecommons.org/licenses/by-sa/3.0/,spdx/CC-BY-SA-3.0
http://creativecommons.org/licenses/by-sa/3.0/legalcode,spdx/CC-BY-SA-3.0
http://creativecommons.org/licenses/by-sa/4.0/legalcode,spdx/CC-BY-SA-4.0
http://creativecommons.org/licenses/by/1.0/legalcode,spdx/CC-BY-1.0
http://creativecommons.org/licenses/by/2.0/legalcode,spdx/CC-BY-2.0
http://creativecommons.org/licenses/by/2.5,spdx/CC-BY-2.5
http://creativecommons.org/licenses/by/2.5/legalcode,spdx/CC-BY-2.5
http://creativecommons.org/licenses/by/3.0/legalcode,spdx/CC-BY-3.0
http://creativecommons.org/licenses/by/4.0/legalcode,spdx/CC-BY-4.0
http://creativecommons.org/licenses/lgpl/2.1/,spdx/LGPL-2.1
http://creativecommons.org/licenses/publicdomain,spdx/CC-BY-1.0
http://creativecommons.org/publicdomain/zero/1.0/,spdx/CC0-1.0
http://creativecommons.org/publicdomain/zero/1.0/legalcode,spdx/CC0-1.0
http://data.norge.no/nlod/en/1.0,spdx/NLOD-1.0
http://db4j.org/pupl/pupl,Approved/PUPL - Paid Use Permissive License
http://dev.perl.org/licenses/artistic.html,spdx/Artistic-1.0-Perl
http://dev.w3.org/cvsweb/amaya/libjpeg/attic/readme?rev=1.2,spdx/IJG
http://dev2dev.bea.com/xml/stax.html,Approved/Java Specification Participation Agreement
http://developer.apple.com/library/mac/#samplecode/applejavaextensions/listings/readme_txt.html,spdx/APSL-2.0
http://developer.yahoo.com/yui/license.html,spdx/BSD-3-Clause
http://developer.yahoo.net/yui/license.txt,spdx/BSD-3-Clause
http://directory.fsf.org/wiki/license:bittorrentosl1.1,spdx/BitTorrent-1.1
http://directory.fsf.org/wiki/license:bsd_4clause,spdx/BSD-4-Clause
http://doc.qt.nokia.com/3.3/license.html,spdx/QPL-1.0
http://doc.trolltech.com/3.0/license.html,spdx/QPL-1.0
http://dorepository.org/download.html,spdx/CNRI-Python
http://download.oracle.com/otn-pub/java/licenses/bsd.txt,spdx/BSD-3-Clause-No-Nuclear-License
http://download.oracle.com/otn-pub/java/licenses/bsd.txt?authparam=1467140197_43d516ce1776bd08a58235a7785be1cc,spdx/BSD-3-Clause-No-Nuclear-License
http://ec.europa.eu/idabc/en/document/7330.html,spdx/EUPL-1.0
http://eclipse.org/legal/epl-v10.html,spdx/EPL-1.0
http://ecos.sourceware.org/old-license.html,spdx/RHeCos-1.1
http://en.wikipedia.org/wiki/mit_license,spdx/MIT
http://en.wikipedia.org/wiki/public_domain,FSF/PublicDomain
http://en.wikipedia.org/wiki/wtfpl,spdx/WTFPL
http://eu-datagrid.web.cern.ch/eu-datagrid/license.html,spdx/EUDatagrid
http://fairlicense.org/,spdx/Fair
http://fedoraproject.org/wiki/licensing/common_documentation_license,FSF/ACDL
http://fedoraproject.org/wiki/licensing/microsoft shared source license,FSF/Ms-SS
http://freeimage.sourceforge.net/freeimage-license.txt,spdx/FreeImage
http://freemarker.org/docs/app_license.html,spdx/Apache-2.0
http://freemarker.org/license.txt,spdx/Apache-2.0
http://freetype.fis.uniroma2.it/ftl.txt,spdx/FTL
http://ftp.gnu.org/gnu/non-gnu/chinese-fonts-truetype/license,FSF/Arphic
http://gee.cs.oswego.edu/dl/classes/edu/oswego/cs/dl/util/concurrent/intro.html,Approved/TECHNOLOGY LICENSE FROM SUN Microssytems Inc TO DOUG LEA
http://gee.cs.oswego.edu/dl/classes/edu/oswego/cs/dl/util/sun-u.c.license.pdf,Approved/TECHNOLOGY LICENSE FROM SUN Microssytems Inc TO DOUG LEA
http://gee.cs.oswego.edu/dl/cpjslides/util.pdf,Approved/TECHNOLOGY LICENSE FROM SUN Microssytems Inc TO DOUG LEA
http://geraintluff.github.io/tv4/license.txt,FSF/PublicDomain
http://gianluca.dellavedova.org/2011/01/03/clarified-artistic-license/,spdx/ClArtistic
http://git.denx.de/?p=u-boot.git;a=blob;f=arch/powerpc/cpu/ppc4xx/miiphy.c;h=297155fdafa064b955e53e9832de93bfb0cfb85b;hb=9fab4bf4cc077c21e43941866f3f2c196f28670d,spdx/IBM-pibs
http://git.savannah.gnu.org/cgit/bison.git/tree/data/yacc.c?id=193d7c7054ba7197b0789e14965b739162319b5e#n141,spdx/GPL-2.0-with-bison-exception
http://github.com/backchatio/scala-inflector/raw/head/license,spdx/MIT
http://github.com/dylang/node-xml/raw/master/license,spdx/MIT
http://github.com/estools/esutils/raw/master/license.bsd,spdx/BSD-2-Clause
http://github.com/isaacs/minimatch/raw/master/license,spdx/ISC
http://github.com/itseez/opencv/raw/master/license,spdx/BSD-3-Clause
http://github.com/json4s/json4s/raw/head/license,spdx/Apache-2.0
http://github.com/kpdecker/jsdiff/blob/master/license,spdx/BSD-3-Clause
http://github.com/mockito/mockito/blob/master/license,spdx/MIT
http://github.com/ryanmcgrath/wrench-js/raw/master/license,spdx/MIT
http://github.com/wearefractal/glob-stream/raw/master/license,spdx/MIT
http://github.com/wearefractal/glob-watcher/raw/master/license,spdx/MIT
http://github.com/wearefractal/replace-ext/raw/master/license,spdx/MIT
http://github.com/wearefractal/vinyl-fs/raw/master/license,spdx/MIT
http://github.com/wearefractal/vinyl/raw/master/license,spdx/MIT
http://glassfish.java.net/nonav/public/cddl+gpl_1_1.html,Approved/CDDL + GPL-2.0-with-classpath-exception
http://glassfish.java.net/public/cddl,Approved/CDDL + GPL-2.0-with-classpath-exception
http://glassfish.java.net/public/cddl+gpl_1_1.html,Approved/CDDL + GPL-2.0-with-classpath-exception
http://gnuplot.cvs.sourceforge.net/gnuplot/gnuplot/copyright,FSF/gnuplot
http://graphdb.ontotext.com/license-graphdb-free.txt,Approved/ontotext LICENSE-GraphDB-Free
http://gridscheduler.sourceforge.net/gridengine_sissl_license.html,spdx/SISSL-1.2
http://gsbase.sourceforge.net/license.html,"Approved/GSBase Software License, Version 1.0"
http://h2database.com/html/license.html,Approved/BSD-3-Clause for HSQL Development Group
http://hg.openjdk.java.net/jdk7u/jdk7u/raw-file/da55264ff2fb/license,spdx/GPL-2.0-with-classpath-exception
http://hls.harvard.edu/dept/communications/harvard-law-school-recording-license-agreement/,Approved/Harvard Law School Recording License Agreement
http://hsqldb.org/web/hsqllicense.html,Approved/BSD-3-Clause for HSQL Development Group
http://htmlparser.sourceforge.net/cpl1.0.txt,spdx/CPL-1.0
http://htmlparser.sourceforge.net/lgpl3.0.txt,spdx/LGPL-3.0
http://htmlunit.sourceforge.net/license.html,spdx/Apache-2.0
http://io7m.com/license/isc.txt,spdx/ISC
http://ipafont.ipa.go.jp/ipa font license v1.html,spdx/IPA
http://jakarta.apache.org/bsf,spdx/Apache-2.0
http://java.net/projects/javamoney,JSR 354 (Money and Currency API)
http://java.sun.com/products/java-media/jai/downloads/download-1_1_2_01.html,Approved/CDDL + GPL-2.0-with-classpath-exception
http://java.sun.com/products/servlet/license,spdx/SISSL-1.2
http://java.sun.com/spl.html,spdx/SPL-1.0
http://jaxen.werken.com/,Approved/Apache-1.1 by Werken Company
http://jdbc.postgresql.org/license.html,spdx/PostgreSQL
http://jgrapht.sourceforge.net/lgpl.html,spdx/LGPL-2.1
http://jmock.org/license.html,spdx/BSD-Source-Code
http://jodd.org/license.html,spdx/BSD-2-Clause
http://joinup.ec.europa.eu/software/page/eupl,spdx/EUPL-1.1
http://jpam.sourceforge.net/license.txt,spdx/Apache-2.0
http://jquery.org/license,Approved/MIT + CC0-1.0 for jquery License
http://json.org/license.html,spdx/JSON
http://jsoup.com/license,spdx/MIT
http://jsoup.org/license,spdx/MIT
http://jung.sourceforge.net/license.txt,spdx/BSD-3-Clause
http://labs.metacarta.com/license-explanation.html#license,spdx/BSD-3-Clause-Clear
http://landley.net/toybox/license.html,spdx/0BSD
http://legacy.imatix.com/html/sfl/sfl4.htm#license,spdx/iMatix
http://liballeg.org/license.html#allegro-4-the-giftware-license,spdx/Giftware
http://links.sonatype.com/products/corp/pom/eula,Approved/Sonatype END USER LICENSE AGREEMENT
http://maven.kuali.org/external/org/opensource/ecl/2.0/ecl-2.0.txt,spdx/ECL-2.0
http://morphadorner.northwestern.edu/morphadorner/licenses/thirdparty/isorelax.html,spdx/MIT
http://mozilla.org/mpl/2.0/,spdx/MPL-2.0-no-copyleft-exception
http://mozilla.org/mpl/2.0/.,spdx/MPL-2.0-no-copyleft-exception
http://net-snmp.sourceforge.net/about/license.html,spdx/Net-SNMP
http://netbeans.org/cddl-gplv2.html,Approved/CDDL + GPL-2.0-with-classpath-exception
http://old.koalateam.com/jackaroo/opl_1_0.txt,spdx/OPL-1.0
http://old.zope.org/resources/license/zpl-1.1,spdx/ZPL-1.1
http://old.zope.org/resources/license/zpl-2.0,spdx/ZPL-2.0
http://old.zope.org/resources/zpl/,spdx/ZPL-2.1
http://opencontent.org/openpub/,FSF/OpenPublicationL
http://opendatacommons.org/licenses/pddl/1.0/,spdx/PDDL-1.0
http://openjdk.java.net/legal/gplv2+ce.html,spdx/GPL-2.0-with-classpath-exception
http://opensource.linux-mirror.org/licenses/afl-1.1.txt,spdx/AFL-1.1
http://opensource.linux-mirror.org/licenses/afl-1.2.txt,spdx/AFL-1.2
http://opensource.linux-mirror.org/licenses/afl-2.0.txt,spdx/AFL-2.0
http://opensource.linux-mirror.org/licenses/afl-2.1.txt,spdx/AFL-2.1
http://opensource.org/licenses/academic.php,spdx/AFL-3.0
http://opensource.org/licenses/apache-2.0,spdx/Apache-2.0
http://opensource.org/licenses/apache2.0.php,spdx/Apache-2.0
http://opensource.org/licenses/artistic-1.0,spdx/Artistic-1.0
http://opensource.org/licenses/bsd-2-clause,spdx/BSD-2-Clause
http://opensource.org/licenses/bsd-3-clause,spdx/BSD-3-Clause
http://opensource.org/licenses/bsd-license.php,spdx/BSD-3-Clause
http://opensource.org/licenses/catosl-1.1,spdx/CATOSL-1.1
http://opensource.org/licenses/cpl-1.0,spdx/CPL-1.0
http://opensource.org/licenses/cua-opl-1.0,spdx/CUA-OPL-1.0
http://opensource.org/licenses/ecl-1.0,spdx/ECL-1.0
http://opensource.org/licenses/ecl-2.0,spdx/ECL-2.0
http://opensource.org/licenses/entessa,spdx/Entessa
http://opensource.org/licenses/epl-1.0,spdx/EPL-1.0
http://opensource.org/licenses/intel,spdx/Intel-ACPI
http://opensource.org/licenses/liliq-p-1.1,spdx/LiLiQ-P-1.1
http://opensource.org/licenses/liliq-r-1.1,spdx/LiLiQ-R-1.1
http://opensource.org/licenses/liliq-rplus-1.1,spdx/LiLiQ-Rplus-1.1
http://opensource.org/licenses/lpl-1.0,spdx/LPL-1.0
http://opensource.org/licenses/mit,spdx/MIT
http://opensource.org/licenses/mit-license.php,spdx/MIT
http://opensource.org/licenses/opl-2.1,spdx/OSET-PL-2.1
http://opensource.org/licenses/osl-1.0,spdx/OSL-1.0
http://opensource.org/licenses/osl-2.1,spdx/OSL-2.1
http://opensource.org/licenses/rpl-1.1,spdx/RPL-1.1
http://opensource.org/licenses/upl,spdx/UPL-1.0
http://opensource.org/licenses/xnet,spdx/Xnet
http://openwall.info/wiki/people/solar/software/public-domain-source-code/md5,spdx/RSA-MD
http://openwatcom.org/,spdx/Watcom-1.0
http://oss.sgi.com/projects/freeb/,spdx/SGI-B-2.0
http://oss.sgi.com/projects/freeb/sgifreeswlicb.1.0.html,spdx/SGI-B-1.0
http://oss.sgi.com/projects/freeb/sgifreeswlicb.2.0.pdf,spdx/SGI-B-2.0
http://oss.software.ibm.com/developerworks/opensource/cplv1.0.htm,spdx/CPL-1.0
http://otm.illinois.edu/uiuc opensource,spdx/NCSA
http://otm.illinois.edu/uiuc_opensource,spdx/NCSA
http://packages.debian.org/changelogs/pool/non-free/l/lha/current/copyright,FSF/Lha
http://pages.cs.wisc.edu/~ghost/doc/afpl/6.01/public.htm,spdx/Aladdin
http://people.apache.org/~andyc/neko/license,"Apache-1.1 = The CyberNeko Software License, Version 1.0"
http://plan9.bell-labs.com/plan9/license.html,spdx/LPL-1.02
http://pmd.sourceforge.net/license.html,Approved/LGPL-3.0 + Apaache-2.0 + BSD-3-Clause for PMD InfoEther
http://rc.quest.com/topics/openssh/license.php#tcpwrappers,spdx/TCP-wrappers
http://repository.jboss.com/licenses/lgpl.txt,spdx/LGPL-2.1
http://repository.jboss.com/licenses/sun-jaf.txt,Approved/Oracle Binary Code License Agreement
http://repository.jboss.org/licenses/apache-2.0.txt,spdx/Apache-2.0
http://repository.jboss.org/licenses/cc0-1.0.txt,spdx/CC0-1.0
http://repository.jboss.org/licenses/cddl,spdx/CDDL-1.0
http://repository.jboss.org/licenses/cddl.txt,spdx/CDDL-1.0
http://repository.jboss.org/licenses/gpl-2.0-ce.txt,spdx/GPL-2.0-with-classpath-exception
http://repository.jboss.org/licenses/lgpl-2.1.txt,spdx/LGPL-2.1
http://repository.jboss.org/licenses/oswego.txt,Approved/TECHNOLOGY LICENSE FROM SUN Microssytems Inc TO DOUG LEA
http://repository.jboss.org/licenses/trove.txt,Approved/GPLv2 + CERN NOTICE
http://research.cs.wisc.edu/condor/license.html#condor,spdx/Condor-1.1
http://research.scea.com/scea_shared_source_license.html,spdx/SCEA
http://rmock.sourceforge.net/,spdx/Apache-2.0
http://rmock.sourceforge.net/license.html,spdx/Apache-2.0
http://rox-xmlrpc.sourceforge.net/license.html,Approved/BSD-3-Clause for ROX.jar license
http://sam.zoy.org/wtfpl/copying,spdx/WTFPL
http://saxproject.org/?selected=pd,spdx/SAX-PD
http://scripts.sil.org/cms/scripts/page.php?item_id=ofl10_web,spdx/OFL-1.0
http://scripts.sil.org/cms/scripts/page.php?item_id=ofl_web,spdx/OFL-1.1
http://scripts.sil.org/ofl,spdx/OFL-1.1
http://snurran.sics.se/hops/mysql-connector-java-5.1.29/docs/connector-j.html#license-nanoxml,Approved/NanoXML License
http://snurran.sics.se/hops/mysql-connector-java-5.1.29/docs/connector-j.html#preface,Approved/Election of GPLv2 for MySQL ConnectorJ
http://source.icu-project.org/repos/icu/icu/tags/latest/license,spdx/ICU
http://source.icu-project.org/repos/icu/icu/trunk/license,spdx/ICU
http://source.icu-project.org/repos/icu/icu/trunk/license.html,spdx/ICU
http://source.icu-project.org/repos/icu/trunk/icu4j/main/shared/licenses/license,Approved/ICU + Third-Party Software Licenses
http://sourceforge.net/projects/ant-contrib,Approved/Apache-1.1 based Ant-Contrib License
http://sources.gentoo.org/cgi-bin/viewvc.cgi/gentoo-x86/licenses/bittorrent?r1=1.1&r2=1.1.1.1&diff_format=s,spdx/BitTorrent-1.0
http://svn.apache.org/repos/asf/jspwiki/tags/jspwiki_2_9_0_rc1/doc/license.jaxen,Approved/Apache-1.1 by Werken Company
http://svn.apache.org/viewvc/jakarta/bsf/,spdx/BSD-3-Clause
http://svn.code.sf.net/p/barbecue/code/tags/barbecue-1.5-beta1/license.txt,spdx/BSD-3-Clause
http://svnkit.com/license.html,spdx/TMate
http://sw.nokia.com/tools/license.txt,spdx/Nokia
http://ti.arc.nasa.gov/opensource/nosa/,spdx/NASA-1.3
http://trac.enlightenment.org/e/browser/trunk/imlib2/copying,spdx/Imlib2
http://unkrig.de/w/new_bsd_license,spdx/BSD-3-Clause
http://unlicense.org/,spdx/Unlicense
http://unlicense.org/index.html,spdx/Unlicense
http://unlicense.org/unlicense,spdx/Unlicense
http://usefulinc.com/doap/licenses/asl20,spdx/Apache-2.0
http://userguide.icu-project.org/icufaq#toc-how-is-the-icu-licensed,spdx/ICU
http://vimdoc.sourceforge.net/htmldoc/uganda.html,spdx/Vim
http://vorb.de/license/mit.html,spdx/MIT
http://wayback.archive.org/web/20060715140826/http://www.risource.org/rpl/rpl-1.0a.shtml,spdx/RSCPL
http://wbemservices.sourceforge.net/license.html,spdx/SISSL-1.2
http://wbemservices.sourceforge.net/sissl_1-2.html,spdx/SISSL-1.2
http://web.archive.org/web/20041020171434/http://www.rosenlaw.com/osl2.0.html,spdx/OSL-2.0
http://web.archive.org/web/20050212003940/http://www.rosenlaw.com/osl21.htm,spdx/OSL-2.1
http://web.archive.org/web/20051105030615/http://www.squeak.org/squeaklicense/,FSF/Squeak
http://web.archive.org/web/20070202204117/http://www.python.org/doc/copyright.html,FSF/Python1.6a2
http://web.archive.org/web/20080828191234/http://www.technicalpursuit.com/licenses/rpl 1.3.html,FSF/RPL
http://web.archive.org/web/20100302225219/http://www.zimbra.com/license/zimbra-public-license-1-3.html,spdx/Zimbra-1.3
http://web.mit.edu/network/isakmp/nrllicense.html,spdx/NRL
http://website-archive.mozilla.org/www.mozilla.org/mpl/mpl/1.0/,spdx/MPL-1.0
http://wiki.github.com/shellac/java-rdfa/licence,spdx/BSD-3-Clause
http://wiki.scratch.mit.edu/wiki/scratch source code license,FSF/Scratch
http://wrapper.tanukisoftware.org/doc/english/license.html,Approved/Tanuki Software license
http://www-128.ibm.com/developerworks/library/os-cpl.html,spdx/CPL-1.0
http://www-igm.univ-mlv.fr/~unitex/lgpllr.html,spdx/LGPLLR
http://www.abego-software.de/legal/apl-v10.html,spdx/BSD-3-Clause
http://www.accellera.org/images/about/policies/systemc_open_source_license.pdf,FSF/SystemC-3.0
http://www.adobe.com/devnet/xmp/library/eula-xmp-library-java.html,spdx/BSD-3-Clause
http://www.affero.org/oagf.html,spdx/AGPL-1.0
http://www.affero.org/oagpl.html,spdx/AGPL-1.0
http://www.antlr.org/license.html,spdx/ANTLR-PD
http://www.antlr2.org/license.html,spdx/ANTLR-PD
http://www.apache.org/license/license-2.0.txt,spdx/Apache-2.0
http://www.apache.org/licenses/,Approved/Apache Software Foundation products NOTICE
http://www.apache.org/licenses/license-1.0,spdx/Apache-1.0
http://www.apache.org/licenses/license-1.1,spdx/Apache-1.1
http://www.apache.org/licenses/license-1.1.txt,spdx/Apache-1.1
http://www.apache.org/licenses/license-2.0,spdx/Apache-2.0
http://www.apache.org/licenses/license-2.0.html,spdx/Apache-2.0
http://www.apache.org/licenses/license-2.0.txt,spdx/Apache-2.0
http://www.atlassian.com/end-user-agreement/,Approved/Atlassian purchase-licensing
http://www.bittorrent.com/legal/bittorrent-open-source-license,spdx/BitTorrent-1.1
http://www.boost.org/license_1_0.txt,spdx/BSL-1.0
http://www.bouncycastle.org/licence.html,Approved/MIT + donation for Bouncy Castle License
http://www.caucho.com/resin-4.0/admin/starting-resin-licenses.xtp#requestingresinprolicense,Approved/resin pro licenses NOTICE
http://www.cecill.info/licences/licence_cecill-b_v1-en.html,spdx/CECILL-B
http://www.cecill.info/licences/licence_cecill-b_v1-fr.html,spdx/CECILL-B
http://www.cecill.info/licences/licence_cecill-c_v1-en.html,spdx/CECILL-C
http://www.cecill.info/licences/licence_cecill-c_v1-fr.html,spdx/CECILL-C
http://www.cecill.info/licences/licence_cecill_v1-fr.html,spdx/CECILL-1.0
http://www.cecill.info/licences/licence_cecill_v1.1-us.html,spdx/CECILL-1.1
http://www.cecill.info/licences/licence_cecill_v2-en.html,spdx/CECILL-2.0
http://www.cecill.info/licences/licence_cecill_v2-en.txt,spdx/CECILL-2.0
http://www.cecill.info/licences/licence_cecill_v2-fr.html,spdx/CECILL-2.0
http://www.cecill.info/licences/licence_cecill_v2.1-en.html,spdx/CECILL-2.1
http://www.cecill.info/licences/licence_cecill_v2.1-fr.html,spdx/CECILL-2.1
http://www.celepar.pr.gov.br/modules/conteudo/conteudo.php?conteudo=69,FSF/GPL-PA
http://www.codeproject.com/info/cpol10.aspx,spdx/CPOL-1.02
http://www.couchbase.com/agreement/community,Approved/Couchbase Community Edition License Agreement
http://www.cs.fsu.edu/~engelen/license.html,spdx/gSOAP-1.3b
http://www.cs.luc.edu/~laufer/courses/337/handouts/concurrent11.zip,Approved/TECHNOLOGY LICENSE FROM SUN Microssytems Inc TO DOUG LEA
http://www.cs.princeton.edu/~appel/modern/java/cup/#license,Approved/CUP Parser Generator License
http://www.cs.utah.edu/~gk/teem/txt/license.txt,FSF/UtahPublicLicense
http://www.cs.wustl.edu/~schmidt/ace-copying.html,spdx/DOC
http://www.day.com/content/dam/day/downloads/jsr283/license.txt,Approved/Day Specification License
http://www.day.com/dam/day/downloads/jsr283/day-spec-license.htm,Approved/Day Specification License
http://www.day.com/maven/jsr170/jars/license.txt,Approved/Day Specification License
http://www.day.com/maven/jsr170/licenses/day-spec-license.htm,Approved/Day Specification License
http://www.dipp.nrw.de/d-fsl/lizenzen/,spdx/D-FSL-1.0
http://www.dom4j.org/dom4j-1.6.1/license.html,Approved/DOM4J by MetaStuff
http://www.ece.uvic.ca/~mdadams/jasper/license,spdx/JasPer-2.0
http://www.eclipse.org/jetty/licenses.html,Approved/EPL-1.0 + Apache-2.0 for Jetty NOTICE
http://www.eclipse.org/legal/epl-v10.html,spdx/EPL-1.0
http://www.eclipse.org/legal/epl-v20.html,spdx/EPL-2.0
http://www.eclipse.org/org/documents/edl-v10.php,Approved/EDL-1.0
http://www.eclipse.org/org/documents/epl-v10.html,spdx/EPL-1.0
http://www.eclipse.org/org/documents/epl-v10.php,spdx/EPL-1.0
http://www.ecma-international.org/publications/index.html,Approved/BSD-3-Clause for Ecma International
http://www.egenix.com/products/egenix.com-public-license-1.1.0.pdf,spdx/eGenix
http://www.ehcache.org/about/license,spdx/Apache-2.0
http://www.eiffel-nice.org/license/eiffel-forum-license-2.html,spdx/EFL-2.0
http://www.eiffel-nice.org/license/forum.txt,spdx/EFL-1.0
http://www.erlang.org/eplicense,spdx/ErlPL-1.1
http://www.extjs.com/license,Approved/Sencha Licensing Notices
http://www.extreme.indiana.edu/license.txt,Approved/Indiana University Extreme! Lab Software License.TXT
http://www.extreme.indiana.edu/xgws/xsoap/pullparser/license.txt,Approved/Indiana University Extreme! Lab Software License.TXT
http://www.fabric3.org/f3license.html,Approved/ExtremeTransactions Development License
http://www.faqs.org/rfcs/rfc1321.html,spdx/RSA-MD
http://www.freebsd.org/copyright/freebsd-license.html,spdx/BSD-2-Clause-FreeBSD
http://www.freebsd.org/copyright/license.html,spdx/BSD-4-Clause-UC
http://www.fsf.org/licensing/licenses/lgpl.txt,spdx/LGPL-2.0
http://www.ganymed.ethz.ch/ssh2/license.txt,Approved/MIT + donation for Bouncy Castle License
http://www.geuz.org/gl2ps/copying.gl2ps,spdx/GL2PS
http://www.gnu.org/copyleft/gpl.html,spdx/GPL-2.0
http://www.gnu.org/copyleft/lesser.html,spdx/LGPL-3.0
http://www.gnu.org/licenses,spdx/GPL-2.0
http://www.gnu.org/licenses/,spdx/GPL-3.0
http://www.gnu.org/licenses/agpl-3.0.html,spdx/AGPL-3.0
http://www.gnu.org/licenses/agpl-3.0.txt,spdx/AGPL-3.0
http://www.gnu.org/licenses/agpl.txt,spdx/AGPL-3.0-only
http://www.gnu.org/licenses/autoconf-exception-3.0.html,spdx/GPL-3.0-with-autoconf-exception
http://www.gnu.org/licenses/ecos-license.html,spdx/eCos-2.0
http://www.gnu.org/licenses/fdl-1.3.txt,spdx/GFDL-1.3-only
http://www.gnu.org/licenses/gcc-exception-3.1.html,spdx/GPL-3.0-with-GCC-exception
http://www.gnu.org/licenses/gpl-2.0-standalone.html,spdx/GPL-2.0
http://www.gnu.org/licenses/gpl-2.0.html,spdx/GPL-2.0
http://www.gnu.org/licenses/gpl-2.0.txt,spdx/GPL-2.0
http://www.gnu.org/licenses/gpl-3.0-standalone.html,spdx/GPL-3.0
http://www.gnu.org/licenses/gpl-3.0.en.html,spdx/GPL-3.0
http://www.gnu.org/licenses/gpl-3.0.htm,spdx/GPL-3.0
http://www.gnu.org/licenses/gpl-3.0.html,spdx/GPL-3.0
http://www.gnu.org/licenses/gpl-3.0.txt,spdx/GPL-3.0
http://www.gnu.org/licenses/gpl-faq.html#fontexception,spdx/GPL-2.0-with-font-exception
http://www.gnu.org/licenses/gpl.html,spdx/GPL-2.0
http://www.gnu.org/licenses/gpl.txt,spdx/GPL-2.0
http://www.gnu.org/licenses/lgpl-2.1-standalone.html,spdx/LGPL-2.1
http://www.gnu.org/licenses/lgpl-2.1.html,spdx/LGPL-2.1
http://www.gnu.org/licenses/lgpl-2.1.txt,spdx/LGPL-2.1
http://www.gnu.org/licenses/lgpl-3.0-standalone.html,spdx/LGPL-3.0
http://www.gnu.org/licenses/lgpl-3.0.en.html,spdx/LGPL-3.0
http://www.gnu.org/licenses/lgpl-3.0.html,spdx/LGPL-3.0
http://www.gnu.org/licenses/lgpl-3.0.txt,spdx/LGPL-3.0
http://www.gnu.org/licenses/lgpl.html,spdx/LGPL-3.0
http://www.gnu.org/licenses/lgpl.txt,spdx/LGPL-3.0
http://www.gnu.org/licenses/license-list.html#publicdomain,FSF/PublicDomain
http://www.gnu.org/licenses/license-list.html#x11license,spdx/X11
http://www.gnu.org/licenses/licenses.html,spdx/GPL-2.0
http://www.gnu.org/licenses/licenses.html#agpl,spdx/AGPL-1.0
http://www.gnu.org/licenses/old-licenses/fdl-1.1.txt,spdx/GFDL-1.1
http://www.gnu.org/licenses/old-licenses/fdl-1.2.txt,spdx/GFDL-1.2-only
http://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html,spdx/GPL-1.0
http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,spdx/GPL-2.0
http://www.gnu.org/licenses/old-licenses/gpl-2.0.html,spdx/GPL-2.0
http://www.gnu.org/licenses/old-licenses/gpl-2.0.txt,spdx/GPL-2.0
http://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html,spdx/LGPL-2.0
http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,spdx/LGPL-2.1
http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html,spdx/LGPL-2.1
http://www.gnu.org/licenses/old-licenses/lgpl-2.1.txt,spdx/LGPL-2.1
http://www.gnu.org/licenses/vim-license.txt,spdx/Vim
